patient_id,ho_ten,cccd,so_dien_thoai,email,dia_chi,ngay_sinh,benh,ket_qua_xet_nghiem
P00001,Khoa Bùi,425167064924,08402350290,khoa.bùi89@outlook.com,"8 Lê Khu, JohnHuyện, 286105",1996-12-13,Bệnh Alzheimer,HbA1c: 6.5%
P00002,Huy Trần,595527297521,07655870412,huy.trần20@email.com,"2 John Tổ, JaneThành phố, 708434",1995-03-30,Tăng huyết áp,eGFR: 45 mL/min/1.73m2
P00003,Ông Trung Hoàng,735621713048,07071595356,ông.trung.hoàng71@outlook.com,"Quận JaneHuyện, 8 John Đường, 401810",1985-08-18,Viêm khớp dạng thấp,Cholesterol: 220 mg/dL
P00004,Khoa Xuân Vũ,698584340291,07529262102,khoa.xuân.vũ9@outlook.com,"04 Mai Ngõ, Quận JanePhường, 313963",1989-03-07,Viêm khớp dạng thấp,eGFR: 75 mL/min/1.73m2
P00005,Cô Lan Hoàng,558065657939,05553650555,cô.lan.hoàng54@gmail.com,"782 Nguyễn Số, JaneXã, 530705",1975-03-07,Suy thận mạn,Cholesterol: 180 mg/dL
P00006,Xuân Nguyễn,137760153458,03233446717,xuân.nguyễn16@gmail.com,"694 Vũ Đường, Thành phố JanePhường, 667661",1962-12-30,Bệnh phổi tắc nghẽn mãn tính,HbA1c: 6.5%
P00007,Bà Lâm Mai,290355449769,03427790628,bà.lâm.mai66@outlook.com,"5 Nguyễn Số, JohnQuận, 737591",1994-12-26,Đái tháo đường,Glucose: 140 mg/dL
P00008,Lâm Bùi,431046943888,07795394258,lâm.bùi77@outlook.com,"372 Jane Tổ, JaneQuận, 780674",2007-10-25,Bệnh phổi tắc nghẽn mãn tính,MRI não: Không phát hiện bệnh lý
P00009,Lâm Trí Lê,902353857267,08349471130,lâm.trí.lê59@email.com,"99 John Tổ, Huyện JaneHuyện, 516171",2006-02-18,Bệnh Parkinson,Glucose: 95 mg/dL
P00010,Hồng Vũ,675809847064,03350156617,hồng.vũ80@outlook.com,"437 John Đường, Huyện JaneHuyện, 220766",1977-10-17,Bệnh phổi tắc nghẽn mãn tính,MRI não: Không phát hiện bệnh lý
P00011,Kim Thị Phạm,983025959362,07015335226,kim.thị.phạm20@gmail.com,"43 Vũ Đường, Thành phố JohnHuyện, 691657",1963-01-12,Suy thận mạn,Huyết áp: 160/100 mmHg
P00012,Bảo Vũ,519456222057,09928015983,bảo.vũ53@gmail.com,"152 Jane Dãy, JohnQuận, 244060",1964-05-16,Tiểu đường type 2,X-quang ngực: Bình thường
P00013,Trọng Lê,050355269138,08077804545,trọng.lê94@gmail.com,"40 Jane Tổ, Thành phố JaneThành phố, 824127",2001-09-15,Đái tháo đường,eGFR: 75 mL/min/1.73m2
P00014,Huy Vũ,006923377384,03656647758,huy.vũ63@email.com,"3 Jane Hẻm, Huyện JaneXã, 885612",1958-11-12,Bệnh dạ dày,HbA1c: 6.5%
P00015,Chị Khoa Dương,108221964018,03004993236,chị.khoa.dương24@email.com,"069 John Số, Thành phố JaneQuận, 373544",2010-10-31,Gan nhiễm mỡ,HbA1c: 7.2%
P00016,Nam Lê,867873720202,03526689491,nam.lê71@gmail.com,"0 Trần Dãy, JaneThành phố, 972445",1988-06-22,Bệnh tim mạch,LDL: 160 mg/dL
P00017,Hương Đặng,386049781574,08381751637,hương.đặng56@yahoo.com,"9 Phạm Ngõ, Huyện JohnHuyện, 612815",1997-10-07,Bệnh Parkinson,Glucose: 140 mg/dL
P00018,Cô Mai Nguyễn,675763559243,05512487319,cô.mai.nguyễn9@outlook.com,"90 Bùi Số, JohnQuận, 698290",2007-07-09,Bệnh Alzheimer,Cholesterol: 220 mg/dL
P00019,Ông Quang Mai,959676061279,09724968652,ông.quang.mai46@email.com,"865 John Khu, Quận JaneQuận, 354961",1974-02-28,Bệnh phổi tắc nghẽn mãn tính,LDL: 130 mg/dL
P00020,Nhật Văn Dương,635951519322,09701517307,nhật.văn.dương91@outlook.com,"7 Mai Số, Huyện JaneQuận, 353256",1952-02-13,Đái tháo đường,MRI não: Không phát hiện bệnh lý
P00021,Khoa Hữu Đặng,868295569079,07197227048,khoa.hữu.đặng46@email.com,"5 Jane Tổ, Thị xã JaneHuyện, 741771",1985-08-22,Bệnh tuyến giáp,LDL: 160 mg/dL
P00022,Thành Vũ,488648599439,05206962756,thành.vũ70@yahoo.com,"68 Hoàng Số, JohnThành phố, 218693",1994-08-20,Suy thận mạn,CT scan: Không bất thường
P00023,Thành Quang Phạm,962042877039,09632458783,thành.quang.phạm95@yahoo.com,"9 Jane Hẻm, Thành phố JohnPhường, 953337",1966-05-25,Đái tháo đường,Cholesterol: 180 mg/dL
